symbol,name
3MINDIA,3M India Ltd.
AAVAS,Aavas Financiers Ltd.
ABB,ABB India Ltd.
ABCAPITAL,Aditya Birla Capital Ltd.
ABFRL,Aditya Birla Fashion and Retail Ltd.
ACC,ACC Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER,Adani Power Ltd.
ADANITRANS,Adani Transmission Ltd.
ADVENZYMES,Advanced Enzyme Tech Ltd.
AEGISCHEM,Aegis Logistics Ltd.
AIAENG,AIA Engineering Ltd.
AJANTPHARM,Ajanta Pharmaceuticals Ltd.
AKZOINDIA,Akzo Nobel India Ltd.
ALBK,Allahabad Bank
ALKEM,Alkem Laboratories Ltd.
ALLCARGO,Allcargo Logistics Ltd.
AMARAJABAT,Amara Raja Batteries Ltd.
AMBUJACEM,Ambuja Cements Ltd.
ANDHRABANK,Andhra Bank
APLAPOLLO,APL Apollo Tubes Ltd.
APLLTD,Alembic Pharmaceuticals Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
APOLLOTYRE,Apollo Tyres Ltd.
ASHOKA,Ashoka Buildcon Ltd.
ASHOKLEY,Ashok Leyland Ltd.
ASIANPAINT,Asian Paints Ltd.
ASTERDM,Aster DM Healthcare Ltd.
ASTRAL,Astral Poly Technik Ltd.
ASTRAZEN,AstraZenca Pharma India Ltd.
ATUL,Atul Ltd.
AUBANK,AU Small Finance Bank Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
AVANTIFEED,Avanti Feeds Ltd.
AXISBANK,Axis Bank Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BAJAJCON,Bajaj Consumer Care Ltd.
BAJAJELEC,Bajaj Electricals Ltd
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.
BAJFINANCE,Bajaj Finance Ltd.
BALKRISIND,Balkrishna Industries Ltd.
BALMLAWRIE,Balmer Lawrie & Co. Ltd.
BALRAMCHIN,Balrampur Chini Mills Ltd.
BANDHANBNK,Bandhan Bank Ltd.
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
BASF,BASF India Ltd.
BATAINDIA,Bata India Ltd.
BBTC,Bombay Burmah Trading Corporation Ltd.
BDL,Bharat Dynamics Ltd.
BEL,Bharat Electronics Ltd.
BEML,BEML Ltd.
BERGEPAINT,Berger Paints India Ltd.
BHARATFORG,Bharat Forge Ltd.
BHARTIARTL,Bharti Airtel Ltd.
BHEL,Bharat Heavy Electricals Ltd.
BIOCON,Biocon Ltd.
BIRLACORPN,Birla Corporation Ltd.
BLISSGVS,Bliss GVS Pharma Ltd.
BLUEDART,Blue Dart Express Ltd.
BLUESTARCO,Blue Star Ltd.
BOMDYEING,Bombay Dyeing & Manufacturing Co. Ltd.
BOSCHLTD,Bosch Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
BRIGADE,Brigade Enterprises Ltd.
BRITANNIA,Britannia Industries Ltd.
BSE,BSE Ltd.
CADILAHC,Cadila Healthcare Ltd.
CANBK,Canara Bank
CANFINHOME,Can Fin Homes Ltd.
CAPLIPOINT,Caplin Point Laboratories Ltd.
CARBORUNIV,Carborundum Universal Ltd.
CARERATING,CARE Ratings Ltd.
CASTROLIND,Castrol India Ltd.
CCL,CCL Products (I) Ltd.
CDSL,Central Depository Services (India) Ltd.
CEATLTD,Ceat Ltd.
CENTRALBK,Central Bank of India
CENTURYPLY,Century Plyboards (India) Ltd.
CERA,Cera Sanitaryware Ltd
CESC,CESC Ltd.
CGPOWER,CG Power and Industrial Solutions Ltd.
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.
CHENNPETRO,Chennai Petroleum Corporation Ltd.
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.
CIPLA,Cipla Ltd.
COALINDIA,Coal India Ltd.
COCHINSHIP,Cochin Shipyard Ltd.
COFFEEDAY,Coffee Day Enterprises Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
CONCOR,Container Corporation of India Ltd.
COROMANDEL,Coromandel International Ltd.
CORPBANK,Corporation Bank
COX&KINGS,Cox & Kings Ltd.
